flag_id,trigger_pattern,trigger_pattern_tree,flag_type,flag_tier,message,rationale,evidence_source,outcome_validated
1,age >= 65 AND all vitals normal AND vague complaint (general/minor_general),"{""op"":""AND"",""conditions"":[{""helper"":""age_in_years"",""cmp"":"">="",""value"":65},{""helper"":""all_vitals_normal""},{""field"":""chief_complaint"",""cmp"":""in"",""value"":[""general"",""minor_general""]}]}",non-obvious,2,"Atypical risk: elderly, normal vitals, nonspecific",Silent MI/sepsis can present without vital derangement,Clinical judgment (occult presentation),N (judgment)
2,two or more borderline-normal vitals together,"{""helper"":""count_borderline_vitals"",""cmp"":"">="",""value"":2}",non-obvious,2,Multiple borderline vitals - combined concern,Each passes alone; jointly suggests early deterioration,Clinical judgment,N (judgment)
3,all vitals normal AND pain >= 7 AND high-risk complaint or symptom (chest/abdominal),"{""op"":""AND"",""conditions"":[{""helper"":""all_vitals_normal""},{""field"":""pain_level"",""cmp"":"">="",""value"":7},{""op"":""OR"",""conditions"":[{""field"":""chief_complaint"",""cmp"":""in"",""value"":[""cardiac"",""abdominal""]},{""field"":""symptoms"",""cmp"":""contains_any"",""value"":[""chest_pain"",""abdominal_pain""]}]}]}",non-obvious,2,"Severe pain, normal vitals - do not under-triage",Chest ~16% / abdominal ~15% admit despite normal vitals,NHAMCS 2022 (chest n=1562 16.3%; abd n=1796 15.4%),Y
4,diabetic AND (vague malaise OR altered behaviour),"{""op"":""AND"",""conditions"":[{""field"":""pre_existing_conditions"",""cmp"":""contains"",""value"":""diabetes""},{""field"":""symptoms"",""cmp"":""contains_any"",""value"":[""vague_malaise"",""altered_behaviour""]}]}",non-obvious,2,"Diabetic, nonspecific presentation",Silent ischemia / DKA can mask as vague symptoms,"Clinical judgment (Endocrine ~39% admit, supporting)",N (judgment)
5,stroke complaint OR FAST-positive (regardless of vitals),"{""op"":""OR"",""conditions"":[{""field"":""chief_complaint"",""cmp"":""=="",""value"":""stroke""},{""field"":""symptoms"",""cmp"":""contains"",""value"":""fast_positive""}]}",obvious,1,Possible stroke - time-critical,Stroke complaints ~15% admit; treatment clock drives urgency,"NHAMCS 2022 (n=846, 15.0%) + ESI guideline + AHA/ASA stroke guideline",Y
6,(pregnant OR postpartum) AND (neuro complaint OR headache) AND systolic BP >= 140,"{""op"":""AND"",""conditions"":[{""field"":""pregnancy_status"",""cmp"":""in"",""value"":[""pregnant"",""postpartum""]},{""op"":""OR"",""conditions"":[{""field"":""chief_complaint"",""cmp"":""=="",""value"":""neuro""},{""field"":""symptoms"",""cmp"":""contains"",""value"":""headache""}]},{""field"":""blood_pressure_systolic"",""cmp"":"">="",""value"":140}]}",non-obvious,2,Maternal: possible pre-eclampsia - escalate,Hypertensive disorders of pregnancy; leading maternal cause,ACOG Hypertension in Pregnancy (illustrative; small-n in NHAMCS),N (illustrative)
7,postpartum AND (cardiac complaint OR heavy bleeding OR breathlessness OR chest pain),"{""op"":""AND"",""conditions"":[{""field"":""pregnancy_status"",""cmp"":""=="",""value"":""postpartum""},{""op"":""OR"",""conditions"":[{""field"":""chief_complaint"",""cmp"":""=="",""value"":""cardiac""},{""field"":""symptoms"",""cmp"":""contains_any"",""value"":[""heavy_bleeding"",""shortness_of_breath"",""chest_pain""]}]}]}",non-obvious,2,Maternal: possible PPH / embolism - escalate,"Postpartum ""looks-fine-but-isn't"" window; small-n in public data",Society guideline (illustrative),N (illustrative)
8,age 8-60 days AND temp >= 100.4F,"{""op"":""AND"",""conditions"":[{""helper"":""age_in_days"",""cmp"":""between"",""value"":[8,60]},{""field"":""temperature"",""cmp"":"">="",""value"":100.4}]}",obvious,1,Febrile young infant - escalate,Febrile neonate = automatic escalation for serious bacterial infection,AAP 2021 CPG (Febrile Infants 8–60 days),Y (guideline)
9,age >= 5 AND heart rate >= 100 AND systolic BP <= 100,"{""op"":""AND"",""conditions"":[{""helper"":""age_in_years"",""cmp"":"">="",""value"":5},{""field"":""heart_rate"",""cmp"":"">="",""value"":100},{""field"":""blood_pressure_systolic"",""cmp"":""<="",""value"":100}]}",obvious,1,Possible early shock - frank instability,Tachycardia + hypotension = early shock/sepsis,Clinical decision rule (qSOFA / sepsis),Y (guideline)
10,immunocompromised AND temp >= 100.4F,"{""op"":""AND"",""conditions"":[{""field"":""pre_existing_conditions"",""cmp"":""contains"",""value"":""immunocompromised""},{""field"":""temperature"",""cmp"":"">="",""value"":100.4}]}",non-obvious,1,Neutropenic fever risk - time-critical,Fever in immunosuppression = neutropenic fever until excluded,Society guideline (IDSA),Y (guideline)
11,sickle cell disease AND (cardiac complaint OR fever OR chest pain),"{""op"":""AND"",""conditions"":[{""field"":""pre_existing_conditions"",""cmp"":""contains"",""value"":""sickle_cell""},{""op"":""OR"",""conditions"":[{""field"":""chief_complaint"",""cmp"":""=="",""value"":""cardiac""},{""field"":""symptoms"",""cmp"":""contains_any"",""value"":[""fever"",""chest_pain""]}]}]}",non-obvious,1,Acute chest syndrome / sepsis risk,"Fever or chest signs in SCD = high-risk, time-critical; ACS is leading cause of SCD death",Society guideline (NHLBI SCD ; BSH ACS),Y (guideline)
